id,country
1000001,UK
1000001,USA
1000002,South Korea
1000003,USA
1000004,Germany
1000004,USA
1000005,Hong Kong
1000005,USA
1000006,UK
1000006,USA
1000007,UK
1000007,USA
1000008,Canada
1000008,USA
1000009,USA
1000010,USA
1000011,USA
1000012,USA
1000013,USA
1000014,USA
1000015,USA
1000016,Sweden
1000016,USA
1000017,UK
1000017,USA
1000018,UK
1000018,USA
1000019,UK
1000019,USA
1000020,Ireland
1000020,UK
1000020,USA
1000021,USA
1000022,USA
1000023,USA
1000024,Germany
1000024,USA
1000025,USA
1000026,Canada
1000026,USA
1000027,USA
1000028,USA
1000029,USA
1000030,Japan
1000031,USA
1000032,USA
1000033,China
1000033,UK
1000033,USA
1000034,UK
1000034,USA
1000035,USA
1000036,France
1000036,Germany
1000036,USA
1000037,USA
1000038,USA
1000039,USA
1000040,USA
1000041,USA
1000042,USA
1000043,USA
1000044,UK
1000044,USA
1000045,USA
1000046,USA
1000047,USA
1000048,USA
1000049,Brazil
1000049,France
1000049,Italy
1000049,USA
1000050,USA
1000051,USA
1000052,USA
1000053,USA
1000054,USA
1000055,USA
1000056,Japan
1000056,UK
1000056,USA
1000057,USA
1000058,USA
1000059,USA
1000060,USA
1000061,Czechia
1000061,New Zealand
1000061,USA
1000062,USA
1000063,USA
1000064,USA
1000065,Canada
1000065,UK
1000065,USA
1000066,USA
1000067,New Zealand
1000067,USA
1000068,USA
1000069,South Korea
1000069,USA
1000070,USA
1000071,USA
1000072,Australia
1000072,USA
1000073,USA
1000074,USA
1000075,Italy
1000075,USA
1000076,USA
1000077,USA
1000078,USA
1000079,USA
1000080,France
1000081,USA
1000082,USA
1000083,USA
1000084,USA
1000085,USA
1000086,USA
1000087,USA
1000088,USA
1000089,USA
1000090,USA
1000091,USA
1000092,Brazil
1000092,UK
1000092,USA
1000093,USA
1000094,Japan
1000095,USA
1000096,USA
1000097,UK
1000097,USA
1000098,USA
1000099,UK
1000099,USA
1000100,USA